collection_timestamp,station_id,station_name,stop_point_ref,operating_day,journey_ref,transport_mode,product_category,public_code,line,train_number,origin,destination,planned_platform,estimated_platform,scheduled_departure,estimated_departure,has_realtime,predicted_delay_minutes,collection_timestamp_local,scheduled_departure_local,estimated_departure_local,date,hour,weekday,weekend,minutes_until_departure
2026-09-22 12:01:49.711000+00:00,ch:1:sloid:78143,"Basel, Bahnhof SBB",ch:1:sloid:78143:3:3,2026-09-22,ch:1:sjyid:100622:plan:2322289c-e70e-459a-adfc-e58d2bcaa6c8,bus,Bus,50,50,50143,"Basel, Bahnhof SBB","Basel, EuroAirport",B,,2026-09-22 12:00:36+00:00,2026-09-22 12:01:12+00:00,True,0.6,2026-09-22 14:01:49.711000+02:00,2026-09-22 14:00:36+02:00,2026-09-22 14:01:12+02:00,2026-09-22,14,Tuesday,False,-1.2285166666666667
2026-09-22 12:01:49.711000+00:00,ch:1:sloid:78143,"Basel, Bahnhof SBB",ch:1:sloid:78143:1:34,2026-09-22,ch:1:sjyid:100019:plan:560b1cf2-a706-4588-a7de-bcf2d0b61753,tram,Tram,11,11,38257,"Basel, St-Louis Grenze","Basel, Dreispitz",G,,2026-09-22 12:00:42+00:00,2026-09-22 12:02:24+00:00,True,1.7,2026-09-22 14:01:49.711000+02:00,2026-09-22 14:00:42+02:00,2026-09-22 14:02:24+02:00,2026-09-22,14,Tuesday,False,-1.1285166666666666
2026-09-22 12:01:49.711000+00:00,ch:1:sloid:78143,"Basel, Bahnhof SBB",ch:1:sloid:78143:1:32,2026-09-22,ch:1:sjyid:100622:plan:86cd6551-6bd2-4a91-9d40-7839b7fd874c,tram,Tram,2,2,2146,"Basel, Eglisee","Binningen, Kronenplatz",E,,2026-09-22 12:02:06+00:00,2026-09-22 12:03:42+00:00,True,1.6,2026-09-22 14:01:49.711000+02:00,2026-09-22 14:02:06+02:00,2026-09-22 14:03:42+02:00,2026-09-22,14,Tuesday,False,0.27148333333333335
2026-09-22 12:01:49.711000+00:00,ch:1:sloid:78143,"Basel, Bahnhof SBB",ch:1:sloid:78143:3:5,2026-09-22,ch:1:sjyid:100622:plan:d2155c97-6b79-44b3-9c35-bad96252440b,bus,Bus,48,48,48083,"Basel, Bahnhof SBB","Basel, Bachgraben",A,,2026-09-22 12:02:00+00:00,2026-09-22 12:02:00+00:00,True,0.0,2026-09-22 14:01:49.711000+02:00,2026-09-22 14:02:00+02:00,2026-09-22 14:02:00+02:00,2026-09-22,14,Tuesday,False,0.17148333333333332
2026-09-22 12:01:49.711000+00:00,ch:1:sloid:78143,"Basel, Bahnhof SBB",ch:1:sloid:78143:1:35,2026-09-22,ch:1:sjyid:100019:plan:bf669a03-be20-4189-9e4e-5eaa3b158693,tram,Tram,11,11,38274,"Basel, Dreispitz","Basel, Saint-Louis Grenze",H,,2026-09-22 12:03:00+00:00,2026-09-22 12:03:00+00:00,True,0.0,2026-09-22 14:01:49.711000+02:00,2026-09-22 14:03:00+02:00,2026-09-22 14:03:00+02:00,2026-09-22,14,Tuesday,False,1.1714833333333334
2026-09-22 12:01:49.711000+00:00,ch:1:sloid:78143,"Basel, Bahnhof SBB",ch:1:sloid:78143:1:32,2026-09-22,ch:1:sjyid:100622:plan:918bdbe9-ce4b-4a72-a790-d8e7745d5b21,tram,Tram,8,8,8144,"Weil am Rhein, Bahnhof/Zentrum","Basel, Neuweilerstrasse",E,,2026-09-22 12:03:48+00:00,2026-09-22 12:03:48+00:00,True,0.0,2026-09-22 14:01:49.711000+02:00,2026-09-22 14:03:48+02:00,2026-09-22 14:03:48+02:00,2026-09-22,14,Tuesday,False,1.9714833333333333
2026-09-22 12:01:49.711000+00:00,ch:1:sloid:78143,"Basel, Bahnhof SBB",ch:1:sloid:78143:1:33,2026-09-22,ch:1:sjyid:100622:plan:500d12d6-04fa-44e4-be4f-0994decc268e,tram,Tram,2,2,2149,"Binningen, Kronenplatz","Basel, Eglisee",F,,2026-09-22 12:03:00+00:00,2026-09-22 12:03:00+00:00,True,0.0,2026-09-22 14:01:49.711000+02:00,2026-09-22 14:03:00+02:00,2026-09-22 14:03:00+02:00,2026-09-22,14,Tuesday,False,1.1714833333333334
2026-09-22 12:01:49.711000+00:00,ch:1:sloid:78143,"Basel, Bahnhof SBB",ch:1:sloid:78143:1:35,2026-09-22,ch:1:sjyid:100019:plan:3e466c32-d61e-4e79-abc5-bc494839a041,tram,Tram,10,10,10248,"Dornach, Bahnhof","Rodersdorf, Station",H,,2026-09-22 12:05:00+00:00,2026-09-22 12:06:24+00:00,True,1.4,2026-09-22 14:01:49.711000+02:00,2026-09-22 14:05:00+02:00,2026-09-22 14:06:24+02:00,2026-09-22,14,Tuesday,False,3.171483333333333
2026-09-22 12:01:49.711000+00:00,ch:1:sloid:78143,"Basel, Bahnhof SBB",ch:1:sloid:78143:1:31,2026-09-22,ch:1:sjyid:100622:plan:518c36f8-a6d0-47cd-8c2d-86e2dc750360,tram,Tram,1,1,1148,"Basel, Bahnhof SBB","Basel, Dreirosenbrücke",D,,2026-09-22 12:05:18+00:00,2026-09-22 12:05:18+00:00,True,0.0,2026-09-22 14:01:49.711000+02:00,2026-09-22 14:05:18+02:00,2026-09-22 14:05:18+02:00,2026-09-22,14,Tuesday,False,3.471483333333333
2026-09-22 12:01:49.711000+00:00,ch:1:sloid:78143,"Basel, Bahnhof SBB",ch:1:sloid:78143:1:34,2026-09-22,ch:1:sjyid:100019:plan:86d559c9-cc1e-44a3-832a-2c09630be305,tram,Tram,10,10,10299,"Rodersdorf, Station",Dornach Bahnhof,G,,2026-09-22 12:05:00+00:00,2026-09-22 12:06:42+00:00,True,1.7,2026-09-22 14:01:49.711000+02:00,2026-09-22 14:05:00+02:00,2026-09-22 14:06:42+02:00,2026-09-22,14,Tuesday,False,3.171483333333333
