collection_timestamp,station_id,station_name,stop_point_ref,operating_day,journey_ref,transport_mode,product_category,public_code,line,train_number,origin,destination,planned_platform,estimated_platform,scheduled_departure,estimated_departure,has_realtime,predicted_delay_minutes,collection_timestamp_local,scheduled_departure_local,estimated_departure_local,date,hour,weekday,weekend,minutes_until_departure
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:0:19,2026-09-22,ch:1:sjyid:100001:17349-001,rail,S-Bahn,S3,S3,17349,Laufen,Olten,19,,2026-09-22 12:00:00+00:00,2026-09-22 12:01:00+00:00,True,1.0,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:00:00+02:00,2026-09-22 14:01:00+02:00,2026-09-22,14,Tuesday,False,-1.8105166666666668
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:0:20,2026-09-22,ch:1:sjyid:100015:1870-001,rail,InterRegio,IR56,IR56,1870,Basel SBB,Biel/Bienne,20,,2026-09-22 12:02:00+00:00,2026-09-22 12:02:12+00:00,True,0.2,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:02:00+02:00,2026-09-22 14:02:12+02:00,2026-09-22,14,Tuesday,False,0.18948333333333334
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:5:9,2026-09-22,ch:1:sjyid:100061:2327-001,rail,Treno Gottardo,IR26,IR26,2327,Basel SBB,Locarno,9,,2026-09-22 12:04:00+00:00,2026-09-22 12:04:30+00:00,True,0.5,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:04:00+02:00,2026-09-22 14:04:30+02:00,2026-09-22,14,Tuesday,False,2.1894833333333334
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:1:2,2026-09-22,ch:1:sjyid:100308:87836-001,rail,S-Bahn,S6,S6,87836,Basel SBB,Zell (Wiesental),2,,2026-09-22 12:06:00+00:00,2026-09-22 12:06:12+00:00,True,0.2,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:06:00+02:00,2026-09-22 14:06:12+02:00,2026-09-22,14,Tuesday,False,4.1894833333333334
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:6:11,2026-09-22,ch:1:sjyid:100001:1975-001,rail,InterRegio,IR36,IR36,1975,Basel SBB,Zürich HB,11,,2026-09-22 12:07:00+00:00,2026-09-22 12:07:42+00:00,True,0.7,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:07:00+02:00,2026-09-22 14:07:42+02:00,2026-09-22,14,Tuesday,False,5.1894833333333334
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:3:6,2026-09-22,ch:1:sjyid:100001:775-001,rail,InterCity,IC3,IC3,775,Basel SBB,Chur,6,,2026-09-22 12:07:00+00:00,2026-09-22 12:07:48+00:00,True,0.8,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:07:00+02:00,2026-09-22 14:07:48+02:00,2026-09-22,14,Tuesday,False,5.1894833333333334
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:7:15,2026-09-22,ch:1:sjyid:100001:17348-001,rail,S-Bahn,S3,S3,17348,Olten,Laufen,15,,2026-09-22 12:08:00+00:00,2026-09-22 12:08:12+00:00,True,0.2,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:08:00+02:00,2026-09-22 14:08:12+02:00,2026-09-22,14,Tuesday,False,6.1894833333333334
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:7:14,2026-09-22,ch:1:sjyid:100001:17551-001,rail,S-Bahn,S33,S33,17551,Basel SBB,Liestal,14,,2026-09-22 12:15:00+00:00,2026-09-22 12:15:30+00:00,True,0.5,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:15:00+02:00,2026-09-22 14:15:30+02:00,2026-09-22,14,Tuesday,False,13.189483333333333
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:2:3,2026-09-22,ch:1:sjyid:100001:2475-001,rail,InterRegio,IR27,IR27,2475,Basel SBB,Luzern,3,,2026-09-22 12:16:00+00:00,2026-09-22 12:16:42+00:00,True,0.7,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:16:00+02:00,2026-09-22 14:16:42+02:00,2026-09-22,14,Tuesday,False,14.189483333333333
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:4:8,2026-09-22,ch:1:sjyid:100001:278-001,rail,InterCityExpress,ICE,ICE,278,Basel SBB,Berlin Südkreuz,8,,2026-09-22 12:16:00+00:00,2026-09-22 12:16:42+00:00,True,0.7,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:16:00+02:00,2026-09-22 14:16:42+02:00,2026-09-22,14,Tuesday,False,14.189483333333333
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:6:12,2026-09-22,ch:1:sjyid:100001:17153-001,rail,S-Bahn,S1,S1,17153,Basel SBB,Frick,12,,2026-09-22 12:19:00+00:00,2026-09-22 12:19:12+00:00,True,0.2,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:19:00+02:00,2026-09-22 14:19:12+02:00,2026-09-22,14,Tuesday,False,17.18948333333333
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:21:31,2026-09-22,ch:1:sjyid:100001:96226-001,rail,Train Express Regional,TER,TER,96226,Basel SBB,Strasbourg,31,,2026-09-22 12:21:00+00:00,2026-09-22 12:21:30+00:00,True,0.5,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:21:00+02:00,2026-09-22 14:21:30+02:00,2026-09-22,14,Tuesday,False,19.18948333333333
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:0:19,2026-09-22,ch:1:sjyid:100001:17351-001,rail,S-Bahn,S3,S3,17351,Laufen,Olten,19A-D,,2026-09-22 12:30:00+00:00,2026-09-22 12:30:12+00:00,True,0.2,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:30:00+02:00,2026-09-22 14:30:12+02:00,2026-09-22,14,Tuesday,False,28.18948333333333
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:4:7,2026-09-22,ch:1:sjyid:100001:625-001,rail,InterCity,IC6,IC6,625,Basel SBB,Domodossola (I),7,,2026-09-22 12:30:00+00:00,2026-09-22 12:30:42+00:00,True,0.7,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:30:00+02:00,2026-09-22 14:30:42+02:00,2026-09-22,14,Tuesday,False,28.18948333333333
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:0:20,2026-09-22,ch:1:sjyid:100001:1626-001,rail,InterCity,IC51,IC51,1626,Basel SBB,Lausanne,20,,2026-09-22 12:32:00+00:00,2026-09-22 12:32:42+00:00,True,0.7,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:32:00+02:00,2026-09-22 14:32:42+02:00,2026-09-22,14,Tuesday,False,30.18948333333333
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:3:5,2026-09-22,ch:1:sjyid:100001:575-001,rail,InterCity,IC3,IC3,575,Basel SBB,Chur,5,,2026-09-22 12:33:00+00:00,2026-09-22 12:33:48+00:00,True,0.8,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:33:00+02:00,2026-09-22 14:33:48+02:00,2026-09-22,14,Tuesday,False,31.18948333333333
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:1:2,2026-09-22,ch:1:sjyid:100308:87838-001,rail,S-Bahn,S6,S6,87838,Basel SBB,Zell (Wiesental),2,,2026-09-22 12:35:00+00:00,2026-09-22 12:35:12+00:00,True,0.2,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:35:00+02:00,2026-09-22 14:35:12+02:00,2026-09-22,14,Tuesday,False,33.189483333333335
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:5:9,2026-09-22,ch:1:sjyid:100001:2075-001,rail,InterRegio,IR36,IR36,2075,Basel SBB,Zürich Flughafen,9,,2026-09-22 12:36:00+00:00,2026-09-22 12:36:42+00:00,True,0.7,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:36:00+02:00,2026-09-22 14:36:42+02:00,2026-09-22,14,Tuesday,False,34.189483333333335
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:8:16,2026-09-22,ch:1:sjyid:100001:17350-001,rail,S-Bahn,S3,S3,17350,Olten,Laufen,16,,2026-09-22 12:38:00+00:00,2026-09-22 12:38:12+00:00,True,0.2,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:38:00+02:00,2026-09-22 14:38:12+02:00,2026-09-22,14,Tuesday,False,36.189483333333335
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:2:4,2026-09-22,ch:1:sjyid:100001:2275-001,rail,InterRegio,IR37,IR37,2275,Basel SBB,Zürich HB,4,,2026-09-22 12:43:00+00:00,2026-09-22 12:43:48+00:00,True,0.8,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:43:00+02:00,2026-09-22 14:43:48+02:00,2026-09-22,14,Tuesday,False,41.189483333333335
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:7:15,2026-09-22,ch:1:sjyid:100001:17553-001,rail,S-Bahn,S33,S33,17553,Basel SBB,Liestal,15,,2026-09-22 12:45:00+00:00,2026-09-22 12:45:30+00:00,True,0.5,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:45:00+02:00,2026-09-22 14:45:30+02:00,2026-09-22,14,Tuesday,False,43.189483333333335
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:5:10,2026-09-22,ch:1:sjyid:100001:4-001,rail,EuroCity,EC,EC,4,Basel SBB,Hamburg Hbf,10,,2026-09-22 12:46:00+00:00,2026-09-22 12:46:42+00:00,True,0.7,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:46:00+02:00,2026-09-22 14:46:42+02:00,2026-09-22,14,Tuesday,False,44.189483333333335
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:6:12,2026-09-22,ch:1:sjyid:100001:17255-001,rail,S-Bahn,S1,S1,17255,Basel SBB,Laufenburg,12,,2026-09-22 12:49:00+00:00,2026-09-22 12:49:12+00:00,True,0.2,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:49:00+02:00,2026-09-22 14:49:12+02:00,2026-09-22,14,Tuesday,False,47.189483333333335
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:4:8,2026-09-22,ch:1:sjyid:100001:975-001,rail,InterCity,IC6,IC6,975,Basel SBB,Brig,8,,2026-09-22 12:58:00+00:00,2026-09-22 12:58:42+00:00,True,0.7,2026-09-22 14:01:48.631000+02:00,2026-09-22 14:58:00+02:00,2026-09-22 14:58:42+02:00,2026-09-22,14,Tuesday,False,56.189483333333335
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:0:19,2026-09-22,ch:1:sjyid:100001:17353-001,rail,S-Bahn,S3,S3,17353,Laufen,Olten,,,2026-09-22 13:00:00+00:00,2026-09-22 13:00:12+00:00,True,0.2,2026-09-22 14:01:48.631000+02:00,2026-09-22 15:00:00+02:00,2026-09-22 15:00:12+02:00,2026-09-22,15,Tuesday,False,58.189483333333335
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:0:20,2026-09-22,ch:1:sjyid:100015:1872-001,rail,InterRegio,IR56,IR56,1872,Basel SBB,Biel/Bienne,20,,2026-09-22 13:02:00+00:00,2026-09-22 13:02:12+00:00,True,0.2,2026-09-22 14:01:48.631000+02:00,2026-09-22 15:02:00+02:00,2026-09-22 15:02:12+02:00,2026-09-22,15,Tuesday,False,60.189483333333335
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:3:5,2026-09-22,ch:1:sjyid:100001:173-001,rail,EuroCity,EC,EC,173,Basel SBB,Milano Centrale,5,,2026-09-22 13:04:00+00:00,,False,,2026-09-22 14:01:48.631000+02:00,2026-09-22 15:04:00+02:00,,2026-09-22,15,Tuesday,False,62.189483333333335
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:1:2,2026-09-22,ch:1:sjyid:100308:87840-001,rail,S-Bahn,S6,S6,87840,Basel SBB,Zell (Wiesental),2,,2026-09-22 13:06:00+00:00,2026-09-22 13:06:12+00:00,True,0.2,2026-09-22 14:01:48.631000+02:00,2026-09-22 15:06:00+02:00,2026-09-22 15:06:12+02:00,2026-09-22,15,Tuesday,False,64.18948333333334
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:6:11,2026-09-22,ch:1:sjyid:100001:1977-001,rail,InterRegio,IR36,IR36,1977,Basel SBB,Zürich HB,11,,2026-09-22 13:07:00+00:00,2026-09-22 13:07:42+00:00,True,0.7,2026-09-22 14:01:48.631000+02:00,2026-09-22 15:07:00+02:00,2026-09-22 15:07:42+02:00,2026-09-22,15,Tuesday,False,65.18948333333334
2026-09-22 12:01:48.631000+00:00,ch:1:sloid:10,Basel SBB,ch:1:sloid:10:2:4,2026-09-22,ch:1:sjyid:100001:105-002,rail,InterCityExpress,ICE,ICE,105,Basel Bad Bf,Chur,4,,2026-09-22 13:07:00+00:00,2026-09-22 13:07:48+00:00,True,0.8,2026-09-22 14:01:48.631000+02:00,2026-09-22 15:07:00+02:00,2026-09-22 15:07:48+02:00,2026-09-22,15,Tuesday,False,65.18948333333334
