collection_timestamp,station_id,station_name,stop_point_ref,operating_day,journey_ref,transport_mode,product_category,public_code,line,train_number,origin,destination,planned_platform,estimated_platform,scheduled_departure,estimated_departure,has_realtime,predicted_delay_minutes,collection_timestamp_local,scheduled_departure_local,estimated_departure_local,date,hour,weekday,weekend,minutes_until_departure
2026-09-22 12:01:49.567000+00:00,ch:1:sloid:76646,"Bern, Bahnhof",ch:1:sloid:76646:0:20,2026-09-22,ch:1:sjyid:100626:plan:dc124e16-d10b-432d-ad75-efa24a464c61,bus,Bus,19,19,58269,"Spiegel, Blinzern",Elfenau,M,,2026-09-22 12:01:00+00:00,2026-09-22 12:01:00+00:00,True,0.0,2026-09-22 14:01:49.567000+02:00,2026-09-22 14:01:00+02:00,2026-09-22 14:01:00+02:00,2026-09-22,14,Tuesday,False,-0.8261166666666667
2026-09-22 12:01:49.567000+00:00,ch:1:sloid:76646,"Bern, Bahnhof",ch:1:sloid:76646:0:15,2026-09-22,ch:1:sjyid:100626:plan:80d7f6f6-e3c8-4fbb-bf62-1017781a8994,bus,Bus,20,20,65681,"Bern Wankdorf, Bahnhof",Länggasse,F,,2026-09-22 12:01:48+00:00,2026-09-22 12:01:48+00:00,True,0.0,2026-09-22 14:01:49.567000+02:00,2026-09-22 14:01:48+02:00,2026-09-22 14:01:48+02:00,2026-09-22,14,Tuesday,False,-0.026116666666666667
2026-09-22 12:01:49.567000+00:00,ch:1:sloid:76646,"Bern, Bahnhof",ch:1:sloid:76646:0:1,2026-09-22,ch:1:sjyid:100626:plan:40a06573-c28b-4f6e-8025-94474bec3d9d,tram,Tram,9,9,22172,"Wabern, Tram-Endstation",Wankdorf Bhf,B,,2026-09-22 12:01:00+00:00,2026-09-22 12:01:00+00:00,True,0.0,2026-09-22 14:01:49.567000+02:00,2026-09-22 14:01:00+02:00,2026-09-22 14:01:00+02:00,2026-09-22,14,Tuesday,False,-0.8261166666666667
2026-09-22 12:01:49.567000+00:00,ch:1:sloid:76646,"Bern, Bahnhof",ch:1:sloid:76646:0:2,2026-09-22,ch:1:sjyid:100626:plan:3a9d5bcc-3e09-4fe7-bc35-c0fdc80b93aa,bus,Bus,8A,8A,77261,"Bern, Bahnhof",Saali,K2,,2026-09-22 12:02:48+00:00,2026-09-22 12:02:48+00:00,True,0.0,2026-09-22 14:01:49.567000+02:00,2026-09-22 14:02:48+02:00,2026-09-22 14:02:48+02:00,2026-09-22,14,Tuesday,False,0.9738833333333333
2026-09-22 12:01:49.567000+00:00,ch:1:sloid:76646,"Bern, Bahnhof",ch:1:sloid:76646:0:19,2026-09-22,ch:1:sjyid:100626:plan:f6ba19e9-e423-4ed5-8082-50a3f030830c,bus,Bus,10,10,34708,"Schliern, Bus-Endstation",Ostermundigen Rüti,L,,2026-09-22 12:03:00+00:00,2026-09-22 12:05:06+00:00,True,2.1,2026-09-22 14:01:49.567000+02:00,2026-09-22 14:03:00+02:00,2026-09-22 14:05:06+02:00,2026-09-22,14,Tuesday,False,1.1738833333333334
2026-09-22 12:01:49.567000+00:00,ch:1:sloid:76646,"Bern, Bahnhof",ch:1:sloid:76646:0:3,2026-09-22,ch:1:sjyid:100626:plan:a0da656a-30cb-4ff4-9e0f-632240626780,tram,Tram,9,9,28524,"Bern Wankdorf, Bahnhof",Wabern,C,,2026-09-22 12:03:00+00:00,2026-09-22 12:03:00+00:00,True,0.0,2026-09-22 14:01:49.567000+02:00,2026-09-22 14:03:00+02:00,2026-09-22 14:03:00+02:00,2026-09-22,14,Tuesday,False,1.1738833333333334
2026-09-22 12:01:49.567000+00:00,ch:1:sloid:76646,"Bern, Bahnhof",ch:1:sloid:76646:0:5,2026-09-22,ch:1:sjyid:100626:plan:a7cb6f8d-6015-4d85-a2d4-9ddc0d0b596f,bus,Bus,12,12,50135,"Bern, Holligen",Zentrum Paul Klee,A,,2026-09-22 12:03:00+00:00,2026-09-22 12:05:42+00:00,True,2.7,2026-09-22 14:01:49.567000+02:00,2026-09-22 14:03:00+02:00,2026-09-22 14:05:42+02:00,2026-09-22,14,Tuesday,False,1.1738833333333334
2026-09-22 12:01:49.567000+00:00,ch:1:sloid:76646,"Bern, Bahnhof",ch:1:sloid:76646:0:13,2026-09-22,ch:1:sjyid:100626:plan:cc76c0ef-3d68-42eb-8e6d-2d3074df6f62,bus,Bus,20,20,63052,"Bern, Länggasse",Wankdorf Bhf,E,,2026-09-22 12:03:48+00:00,2026-09-22 12:04:42+00:00,True,0.9,2026-09-22 14:01:49.567000+02:00,2026-09-22 14:03:48+02:00,2026-09-22 14:04:42+02:00,2026-09-22,14,Tuesday,False,1.9738833333333334
2026-09-22 12:01:49.567000+00:00,ch:1:sloid:76646,"Bern, Bahnhof",ch:1:sloid:76646:0:10,2026-09-22,ch:1:sjyid:100626:plan:ad12ca35-2b83-4573-a687-9fbc0399d6a1,tram,Tram,3,3,1689,"Bern, Bahnhof",Weissenbühl,J,,2026-09-22 12:04:00+00:00,2026-09-22 12:04:00+00:00,True,0.0,2026-09-22 14:01:49.567000+02:00,2026-09-22 14:04:00+02:00,2026-09-22 14:04:00+02:00,2026-09-22,14,Tuesday,False,2.1738833333333334
2026-09-22 12:01:49.567000+00:00,ch:1:sloid:76646,"Bern, Bahnhof",ch:1:sloid:76646:0:39,2026-09-22,ch:1:sjyid:100626:plan:8cc44e42-bbc0-46c2-a512-d7760bbede2d,tram,Tram,8,8,18391,"Bern, Bahnhof",Brünnen Bhf,N,,2026-09-22 12:04:18+00:00,2026-09-22 12:04:18+00:00,True,0.0,2026-09-22 14:01:49.567000+02:00,2026-09-22 14:04:18+02:00,2026-09-22 14:04:18+02:00,2026-09-22,14,Tuesday,False,2.473883333333333
