collection_timestamp,station_id,station_name,stop_point_ref,operating_day,journey_ref,transport_mode,product_category,public_code,line,train_number,origin,destination,planned_platform,estimated_platform,scheduled_departure,estimated_departure,has_realtime,predicted_delay_minutes,collection_timestamp_local,scheduled_departure_local,estimated_departure_local,date,hour,weekday,weekend,minutes_until_departure
2026-09-22 12:01:50.359000+00:00,ch:1:sloid:87057,"Genève, gare Cornavin",ch:1:sloid:87057:0:651350,2026-09-22,ch:1:sjyid:100680:HAS-26-08-20-13-Lun-Ven-35206022,bus,Bus,20,20,646334,"Bellevue GE, Valavran",Veyrier-Tournettes,B,,2026-09-22 11:59:00+00:00,2026-09-22 12:02:18+00:00,True,3.3,2026-09-22 14:01:50.359000+02:00,2026-09-22 13:59:00+02:00,2026-09-22 14:02:18+02:00,2026-09-22,13,Tuesday,False,-2.839316666666667
2026-09-22 12:01:50.359000+00:00,ch:1:sloid:87057,"Genève, gare Cornavin",ch:1:sloid:87057:0:46188,2026-09-22,ch:1:sjyid:100680:HAS-26-015925-70-Lun-Ven-35914034,bus,Bus,25,25,698410,"Genève, Jardin Botanique",Thônex-Vallard,D,,2026-09-22 12:00:00+00:00,2026-09-22 12:00:00+00:00,True,0.0,2026-09-22 14:01:50.359000+02:00,2026-09-22 14:00:00+02:00,2026-09-22 14:00:00+02:00,2026-09-22,14,Tuesday,False,-1.8393166666666665
2026-09-22 12:01:50.359000+00:00,ch:1:sloid:87057,"Genève, gare Cornavin",ch:1:sloid:87057:0:408265,2026-09-22,ch:1:sjyid:100680:HAS-26-015925-70-Lun-Ven-35914207,bus,Bus,1,1,698582,"Thônex, Hôpital Trois-Chêne",Jardin Botanique,E,,2026-09-22 12:00:00+00:00,2026-09-22 12:01:54+00:00,True,1.9,2026-09-22 14:01:50.359000+02:00,2026-09-22 14:00:00+02:00,2026-09-22 14:01:54+02:00,2026-09-22,14,Tuesday,False,-1.8393166666666665
2026-09-22 12:01:50.359000+00:00,ch:1:sloid:87057,"Genève, gare Cornavin",ch:1:sloid:87057:0:783875,2026-09-22,ch:1:sjyid:100680:HAS-26-02-06-19-1-Lun-Ven-34652104,bus,Bus,19,19,616974,"Onex, cité",Vernier-Village,K,,2026-09-22 12:00:00+00:00,2026-09-22 12:02:00+00:00,True,2.0,2026-09-22 14:01:50.359000+02:00,2026-09-22 14:00:00+02:00,2026-09-22 14:02:00+02:00,2026-09-22,14,Tuesday,False,-1.8393166666666665
2026-09-22 12:01:50.359000+00:00,ch:1:sloid:87057,"Genève, gare Cornavin",ch:1:sloid:87057:0:46188,2026-09-22,ch:1:sjyid:100680:HAS-26-15-10-Lun-Ven-35076552,tram,Tram,15,15,847683,"Genève, Nations",ZIPLO,D,,2026-09-22 12:02:00+00:00,2026-09-22 12:01:48+00:00,True,-0.2,2026-09-22 14:01:50.359000+02:00,2026-09-22 14:02:00+02:00,2026-09-22 14:01:48+02:00,2026-09-22,14,Tuesday,False,0.16068333333333334
2026-09-22 12:01:50.359000+00:00,ch:1:sloid:87057,"Genève, gare Cornavin",ch:1:sloid:87057:0:589555,2026-09-22,ch:1:sjyid:100680:HAS-26-02-06-19-1-Lun-Ven-34652177,bus,Bus,6,6,617046,"Vernier, village",Genève-Plage,L,,2026-09-22 12:03:00+00:00,2026-09-22 12:02:12+00:00,True,-0.8,2026-09-22 14:01:50.359000+02:00,2026-09-22 14:03:00+02:00,2026-09-22 14:02:12+02:00,2026-09-22,14,Tuesday,False,1.1606833333333335
2026-09-22 12:01:50.359000+00:00,ch:1:sloid:87057,"Genève, gare Cornavin",ch:1:sloid:87057:0:589555,2026-09-22,ch:1:sjyid:100680:HAS-26-015925-70-Lun-Ven-35914550,bus,Bus,9,9,698777,"Vernier, Lignon Tours",Belle-Terre-Place-de-l'Araire,L,,2026-09-22 12:03:00+00:00,2026-09-22 12:02:24+00:00,True,-0.6,2026-09-22 14:01:50.359000+02:00,2026-09-22 14:03:00+02:00,2026-09-22 14:02:24+02:00,2026-09-22,14,Tuesday,False,1.1606833333333335
2026-09-22 12:01:50.359000+00:00,ch:1:sloid:87057,"Genève, gare Cornavin",ch:1:sloid:87057:0:233278,2026-09-22,ch:1:sjyid:100680:HAS-26-18-10-Lun-Ven-35075053,tram,Tram,18,18,846186,"Meyrin, CERN",Palettes,I,,2026-09-22 12:03:00+00:00,2026-09-22 12:02:12+00:00,True,-0.8,2026-09-22 14:01:50.359000+02:00,2026-09-22 14:03:00+02:00,2026-09-22 14:02:12+02:00,2026-09-22,14,Tuesday,False,1.1606833333333335
2026-09-22 12:01:50.359000+00:00,ch:1:sloid:87057,"Genève, gare Cornavin",ch:1:sloid:87057:0:50679,2026-09-22,ch:1:sjyid:100680:HAS-26-08-20-13-Lun-Ven-35205848,bus,Bus,8,8,646225,"Veyrier, douane",Palexpo,J,,2026-09-22 12:03:00+00:00,2026-09-22 12:02:24+00:00,True,-0.6,2026-09-22 14:01:50.359000+02:00,2026-09-22 14:03:00+02:00,2026-09-22 14:02:24+02:00,2026-09-22,14,Tuesday,False,1.1606833333333335
2026-09-22 12:01:50.359000+00:00,ch:1:sloid:87057,"Genève, gare Cornavin",ch:1:sloid:87057:0:89811,2026-09-22,ch:1:sjyid:100680:HAS-26-14-10-Lun-Ven-35075385,tram,Tram,14,14,846516,"Bernex, Vailly",Meyrin-Gravière,H,,2026-09-22 12:03:00+00:00,2026-09-22 12:03:00+00:00,True,0.0,2026-09-22 14:01:50.359000+02:00,2026-09-22 14:03:00+02:00,2026-09-22 14:03:00+02:00,2026-09-22,14,Tuesday,False,1.1606833333333335
