collection_timestamp,station_id,station_name,stop_point_ref,operating_day,journey_ref,transport_mode,product_category,public_code,line,train_number,origin,destination,planned_platform,estimated_platform,scheduled_departure,estimated_departure,has_realtime,predicted_delay_minutes,collection_timestamp_local,scheduled_departure_local,estimated_departure_local,date,hour,weekday,weekend,minutes_until_departure
2026-09-22 12:01:49.048000+00:00,ch:1:sloid:1120,Lausanne,ch:1:sloid:1120:0:860143,2026-09-22,ch:1:sjyid:100001:18419-001,rail,RegioExpress,RE33,RE33,18419,Annemasse,St-Maurice,4,,2026-09-22 12:01:00+00:00,2026-09-22 12:02:24+00:00,True,1.4,2026-09-22 14:01:49.048000+02:00,2026-09-22 14:01:00+02:00,2026-09-22 14:02:24+02:00,2026-09-22,14,Tuesday,False,-0.8174666666666667
2026-09-22 12:01:49.048000+00:00,ch:1:sloid:1120,Lausanne,ch:1:sloid:1120:0:840061,2026-09-22,ch:1:sjyid:100001:24938-001,rail,Regio,R9,R9,24938,Murten/Morat,Allaman,7,,2026-09-22 12:04:00+00:00,2026-09-22 12:04:12+00:00,True,0.2,2026-09-22 14:01:49.048000+02:00,2026-09-22 14:04:00+02:00,2026-09-22 14:04:12+02:00,2026-09-22,14,Tuesday,False,2.182533333333333
2026-09-22 12:01:49.048000+00:00,ch:1:sloid:1120,Lausanne,ch:1:sloid:1120:0:276884,2026-09-22,ch:1:sjyid:100001:1625-001,rail,InterCity,IC51,IC51,1625,Lausanne,Basel SBB,3,,2026-09-22 12:04:00+00:00,2026-09-22 12:04:30+00:00,True,0.5,2026-09-22 14:01:49.048000+02:00,2026-09-22 14:04:00+02:00,2026-09-22 14:04:30+02:00,2026-09-22,14,Tuesday,False,2.182533333333333
2026-09-22 12:01:49.048000+00:00,ch:1:sloid:1120,Lausanne,ch:1:sloid:1120:0:37997,2026-09-22,ch:1:sjyid:100001:24351-001,rail,Regio,R3,R3,24351,Vallorbe,Vevey,6,,2026-09-22 12:04:00+00:00,2026-09-22 12:04:18+00:00,True,0.3,2026-09-22 14:01:49.048000+02:00,2026-09-22 14:04:00+02:00,2026-09-22 14:04:18+02:00,2026-09-22,14,Tuesday,False,2.182533333333333
2026-09-22 12:01:49.048000+00:00,ch:1:sloid:1120,Lausanne,ch:1:sloid:1120:0:42631,2026-09-22,ch:1:sjyid:100001:24138-001,rail,Regio,R1,R1,24138,Bex,Grandson,5,,2026-09-22 12:08:00+00:00,2026-09-22 12:08:12+00:00,True,0.2,2026-09-22 14:01:49.048000+02:00,2026-09-22 14:08:00+02:00,2026-09-22 14:08:12+02:00,2026-09-22,14,Tuesday,False,6.182533333333334
2026-09-22 12:01:49.048000+00:00,ch:1:sloid:1120,Lausanne,ch:1:sloid:1120:0:860143,2026-09-22,ch:1:sjyid:100001:45-001,rail,EuroCity,EC,EC,45,Genève,Milano Centrale,4,,2026-09-22 12:10:00+00:00,,False,,2026-09-22 14:01:49.048000+02:00,2026-09-22 14:10:00+02:00,,2026-09-22,14,Tuesday,False,8.182533333333334
2026-09-22 12:01:49.048000+00:00,ch:1:sloid:1120,Lausanne,ch:1:sloid:1120:0:276884,2026-09-22,ch:1:sjyid:100001:1723-001,rail,InterRegio,IR95,IR95,1723,Genève-Aéroport,Brig,3,,2026-09-22 12:14:00+00:00,2026-09-22 12:14:00+00:00,True,0.0,2026-09-22 14:01:49.048000+02:00,2026-09-22 14:14:00+02:00,2026-09-22 14:14:00+02:00,2026-09-22,14,Tuesday,False,12.182533333333334
2026-09-22 12:01:49.048000+00:00,ch:1:sloid:1120,Lausanne,ch:1:sloid:1120:0:638488,2026-09-22,ch:1:sjyid:100001:1820-001,rail,InterRegio,IR90,IR90,1820,Brig,Genève-Aéroport,8,,2026-09-22 12:16:00+00:00,2026-09-22 12:16:30+00:00,True,0.5,2026-09-22 14:01:49.048000+02:00,2026-09-22 14:16:00+02:00,2026-09-22 14:16:30+02:00,2026-09-22,14,Tuesday,False,14.182533333333334
2026-09-22 12:01:49.048000+00:00,ch:1:sloid:1120,Lausanne,ch:1:sloid:1120:0:668579,2026-09-22,ch:1:sjyid:100001:723-001,rail,InterCity,IC1,IC1,723,Genève-Aéroport,St. Gallen,1,,2026-09-22 12:17:00+00:00,2026-09-22 12:17:30+00:00,True,0.5,2026-09-22 14:01:49.048000+02:00,2026-09-22 14:17:00+02:00,2026-09-22 14:17:30+02:00,2026-09-22,14,Tuesday,False,15.182533333333334
2026-09-22 12:01:49.048000+00:00,ch:1:sloid:1120,Lausanne,ch:1:sloid:1120:0:20298,2026-09-22,ch:1:sjyid:100001:24653-001,rail,S-Bahn,S40,S40,24653,Lausanne,Fribourg/Freiburg,70,,2026-09-22 12:21:00+00:00,2026-09-22 12:21:12+00:00,True,0.2,2026-09-22 14:01:49.048000+02:00,2026-09-22 14:21:00+02:00,2026-09-22 14:21:12+02:00,2026-09-22,14,Tuesday,False,19.182533333333332
