collection_timestamp,station_id,station_name,stop_point_ref,operating_day,journey_ref,transport_mode,product_category,public_code,line,train_number,origin,destination,planned_platform,estimated_platform,scheduled_departure,estimated_departure,has_realtime,predicted_delay_minutes,collection_timestamp_local,scheduled_departure_local,estimated_departure_local,date,hour,weekday,weekend,minutes_until_departure
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:2814,2026-09-22,ch:1:sjyid:100122:plan1:2026_ATT5-21-50-Semaine-21-9980308,bus,Bus,21,21,21087,"Paudex, Verrière",Blécherette,D,,2026-09-22 11:57:00+00:00,2026-09-22 12:02:42+00:00,True,5.7,2026-09-22 14:01:50.152000+02:00,2026-09-22 13:57:00+02:00,2026-09-22 14:02:42+02:00,2026-09-22,13,Tuesday,False,-4.835866666666666
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:2892,2026-09-22,ch:1:sjyid:100122:plan1:2026_ATT5-01-50-Semaine-1-10019022,bus,Bus,1,1,1271,"Lausanne, Blécherette",EPFL/Colladon,B,,2026-09-22 12:01:00+00:00,2026-09-22 12:15:00+00:00,True,14.0,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:01:00+02:00,2026-09-22 14:15:00+02:00,2026-09-22,14,Tuesday,False,-0.8358666666666666
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:1096,2026-09-22,ch:1:sjyid:100122:plan2:m2_0471,metro,Metro,m2,m2,720471,"Lausanne, Ouchy-Olympique","Epalinges, Croisettes",,,2026-09-22 12:02:00+00:00,,False,,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:02:00+02:00,,2026-09-22,14,Tuesday,False,0.16413333333333335
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:1101,2026-09-22,ch:1:sjyid:100122:plan2:m2_0134,metro,Metro,m2,m2,720134,"Epalinges, Croisettes","Lausanne, Ouchy-Olympique",,,2026-09-22 12:02:00+00:00,,False,,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:02:00+02:00,,2026-09-22,14,Tuesday,False,0.16413333333333335
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:2893,2026-09-22,ch:1:sjyid:100122:plan1:2026_ATT5-21-50-Semaine-21-9980567,bus,Bus,21,21,21221,"Lausanne, Pont Chauderon",Verrière,A,,2026-09-22 12:05:00+00:00,2026-09-22 12:07:12+00:00,True,2.2,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:05:00+02:00,2026-09-22 14:07:12+02:00,2026-09-22,14,Tuesday,False,3.1641333333333335
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:1096,2026-09-22,ch:1:sjyid:100122:plan2:m2_0027,metro,Metro,m2,m2,720027,"Lausanne, Ouchy-Olympique","Epalinges, Croisettes",,,2026-09-22 12:06:00+00:00,,False,,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:06:00+02:00,,2026-09-22,14,Tuesday,False,4.164133333333334
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:1101,2026-09-22,ch:1:sjyid:100122:plan2:m2_0242,metro,Metro,m2,m2,720242,"Epalinges, Croisettes","Lausanne, Ouchy-Olympique",,,2026-09-22 12:06:00+00:00,,False,,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:06:00+02:00,,2026-09-22,14,Tuesday,False,4.164133333333334
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:2893,2026-09-22,ch:1:sjyid:100122:plan1:2026_ATT5-01-50-Semaine-1-10019152,bus,Bus,1,1,1112,"Ecublens VD, EPFL/Colladon",Blécherette,A,,2026-09-22 12:06:00+00:00,2026-09-22 12:06:36+00:00,True,0.6,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:06:00+02:00,2026-09-22 14:06:36+02:00,2026-09-22,14,Tuesday,False,4.164133333333334
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:2814,2026-09-22,ch:1:sjyid:100122:plan1:2026_ATT5-21-50-Semaine-21-9980455,bus,Bus,21,21,21088,"Paudex, Verrière",Blécherette,D,,2026-09-22 12:07:00+00:00,2026-09-22 12:08:54+00:00,True,1.9,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:07:00+02:00,2026-09-22 14:08:54+02:00,2026-09-22,14,Tuesday,False,5.164133333333334
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:2892,2026-09-22,ch:1:sjyid:100122:plan1:2026_ATT5-01-50-Semaine-1-10019023,bus,Bus,1,1,1272,"Lausanne, Blécherette",EPFL/Colladon,B,,2026-09-22 12:08:00+00:00,2026-09-22 12:15:06+00:00,True,7.1,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:08:00+02:00,2026-09-22 14:15:06+02:00,2026-09-22,14,Tuesday,False,6.164133333333334
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:1096,2026-09-22,ch:1:sjyid:100122:plan2:m2_0081,metro,Metro,m2,m2,720081,"Lausanne, Ouchy-Olympique","Epalinges, Croisettes",,,2026-09-22 12:10:00+00:00,,False,,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:10:00+02:00,,2026-09-22,14,Tuesday,False,8.164133333333334
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:2814,2026-09-22,ch:1:sjyid:100122:plan1:2026_ATT2-03-20-Semaine-3-9715634,bus,Bus,3,3,3068,"Lausanne, gare",Maillefer,D,,2026-09-22 12:10:00+00:00,2026-09-22 12:10:00+00:00,True,0.0,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:10:00+02:00,2026-09-22 14:10:00+02:00,2026-09-22,14,Tuesday,False,8.164133333333334
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:1101,2026-09-22,ch:1:sjyid:100122:plan2:m2_0296,metro,Metro,m2,m2,720296,"Epalinges, Croisettes","Lausanne, Ouchy-Olympique",,,2026-09-22 12:10:00+00:00,,False,,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:10:00+02:00,,2026-09-22,14,Tuesday,False,8.164133333333334
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:2893,2026-09-22,ch:1:sjyid:100122:plan1:2026_ATT5-21-50-Semaine-21-9980479,bus,Bus,21,21,21220,"Lausanne, Blécherette",Verrière,A,,2026-09-22 12:10:00+00:00,2026-09-22 12:14:00+00:00,True,4.0,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:10:00+02:00,2026-09-22 14:14:00+02:00,2026-09-22,14,Tuesday,False,8.164133333333334
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:2815,2026-09-22,ch:1:sjyid:100122:plan1:2026_ATT5-20-50-Semaine-20-9969516,bus,Bus,20,20,20050,"Lausanne, gare",Blécherette,C,,2026-09-22 12:11:00+00:00,2026-09-22 12:11:00+00:00,True,0.0,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:11:00+02:00,2026-09-22 14:11:00+02:00,2026-09-22,14,Tuesday,False,9.164133333333332
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:1096,2026-09-22,ch:1:sjyid:100122:plan2:m2_0135,metro,Metro,m2,m2,720135,"Lausanne, Ouchy-Olympique","Epalinges, Croisettes",,,2026-09-22 12:13:00+00:00,,False,,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:13:00+02:00,,2026-09-22,14,Tuesday,False,11.164133333333332
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:1101,2026-09-22,ch:1:sjyid:100122:plan2:m2_0392,metro,Metro,m2,m2,720392,"Epalinges, Croisettes","Lausanne, Ouchy-Olympique",,,2026-09-22 12:13:00+00:00,,False,,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:13:00+02:00,,2026-09-22,14,Tuesday,False,11.164133333333332
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:2893,2026-09-22,ch:1:sjyid:100122:plan1:2026_ATT5-01-50-Semaine-1-10019153,bus,Bus,1,1,1113,"Ecublens VD, EPFL/Colladon",Blécherette,A,,2026-09-22 12:14:00+00:00,2026-09-22 12:16:18+00:00,True,2.3,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:14:00+02:00,2026-09-22 14:16:18+02:00,2026-09-22,14,Tuesday,False,12.164133333333332
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:2892,2026-09-22,ch:1:sjyid:100122:plan1:2026_ATT5-01-50-Semaine-1-10019024,bus,Bus,1,1,1273,"Lausanne, Blécherette",EPFL/Colladon,B,,2026-09-22 12:16:00+00:00,2026-09-22 12:16:54+00:00,True,0.9,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:16:00+02:00,2026-09-22 14:16:54+02:00,2026-09-22,14,Tuesday,False,14.164133333333332
2026-09-22 12:01:50.152000+00:00,ch:1:sloid:92050,"Lausanne, gare",ch:1:sloid:92050:0:1096,2026-09-22,ch:1:sjyid:100122:plan2:m2_0243,metro,Metro,m2,m2,720243,"Lausanne, Ouchy-Olympique","Epalinges, Croisettes",,,2026-09-22 12:17:00+00:00,,False,,2026-09-22 14:01:50.152000+02:00,2026-09-22 14:17:00+02:00,,2026-09-22,14,Tuesday,False,15.164133333333332
