collection_timestamp,station_id,station_name,stop_point_ref,operating_day,journey_ref,transport_mode,product_category,public_code,line,train_number,origin,destination,planned_platform,estimated_platform,scheduled_departure,estimated_departure,has_realtime,predicted_delay_minutes,collection_timestamp_local,scheduled_departure_local,estimated_departure_local,date,hour,weekday,weekend,minutes_until_departure
2026-09-22 12:01:48.778000+00:00,ch:1:sloid:5000,Luzern,ch:1:sloid:5000:5:10,2026-09-22,ch:1:sjyid:100001:21952-001,rail,S-Bahn,S9,S9,21952,Luzern,Lenzburg,10,,2026-09-22 12:02:00+00:00,2026-09-22 12:02:30+00:00,True,0.5,2026-09-22 14:01:48.778000+02:00,2026-09-22 14:02:00+02:00,2026-09-22 14:02:30+02:00,2026-09-22,14,Tuesday,False,0.18703333333333333
2026-09-22 12:01:48.778000+00:00,ch:1:sloid:5000,Luzern,ch:1:sloid:5000:4:9,2026-09-22,ch:1:sjyid:100001:4724-001,rail,RegioExpress,RE24,RE24,4724,Luzern,Olten,9,,2026-09-22 12:05:00+00:00,2026-09-22 12:05:12+00:00,True,0.2,2026-09-22 14:01:48.778000+02:00,2026-09-22 14:05:00+02:00,2026-09-22 14:05:12+02:00,2026-09-22,14,Tuesday,False,3.1870333333333334
2026-09-22 12:01:48.778000+00:00,ch:1:sloid:5000,Luzern,ch:1:sloid:5000:6:13,2026-09-22,ch:1:sjyid:100064:2928-001,rail,Luzern-Interlaken Express,LIX,LIX,2928,Luzern,Interlaken Ost,13,,2026-09-22 12:06:00+00:00,2026-09-22 12:06:06+00:00,True,0.1,2026-09-22 14:01:48.778000+02:00,2026-09-22 14:06:00+02:00,2026-09-22 14:06:06+02:00,2026-09-22,14,Tuesday,False,4.187033333333334
2026-09-22 12:01:48.778000+00:00,ch:1:sloid:5000,Luzern,ch:1:sloid:5000:5:11,2026-09-22,ch:1:sjyid:100001:21353-001,rail,S-Bahn,S3,S3,21353,Luzern,Brunnen,11,,2026-09-22 12:06:00+00:00,2026-09-22 12:07:00+00:00,True,1.0,2026-09-22 14:01:48.778000+02:00,2026-09-22 14:06:00+02:00,2026-09-22 14:07:00+02:00,2026-09-22,14,Tuesday,False,4.187033333333334
2026-09-22 12:01:48.778000+00:00,ch:1:sloid:5000,Luzern,ch:1:sloid:5000:3:6,2026-09-22,ch:1:sjyid:100001:2626-001,rail,InterRegio,IR70,IR70,2626,Luzern,Sargans,6,,2026-09-22 12:09:00+00:00,2026-09-22 12:10:00+00:00,True,1.0,2026-09-22 14:01:48.778000+02:00,2026-09-22 14:09:00+02:00,2026-09-22 14:10:00+02:00,2026-09-22,14,Tuesday,False,7.187033333333333
2026-09-22 12:01:48.778000+00:00,ch:1:sloid:5000,Luzern,ch:1:sloid:5000:6:12,2026-09-22,ch:1:sjyid:100064:2974-001,rail,Luzern-Engelberg Express,IRLEX,IRLEX,2974,Luzern,Stansstad,12,,2026-09-22 12:10:00+00:00,2026-09-22 12:10:12+00:00,True,0.2,2026-09-22 14:01:48.778000+02:00,2026-09-22 14:10:00+02:00,2026-09-22 14:10:12+02:00,2026-09-22,14,Tuesday,False,8.187033333333334
2026-09-22 12:01:48.778000+00:00,ch:1:sloid:5000,Luzern,ch:1:sloid:5000:7:14,2026-09-22,ch:1:sjyid:100064:21552-001,rail,S-Bahn,S5,S5,21552,Luzern,Giswil,14,,2026-09-22 12:12:00+00:00,2026-09-22 12:12:12+00:00,True,0.2,2026-09-22 14:01:48.778000+02:00,2026-09-22 14:12:00+02:00,2026-09-22 14:12:12+02:00,2026-09-22,14,Tuesday,False,10.187033333333334
2026-09-22 12:01:48.778000+00:00,ch:1:sloid:5000,Luzern,ch:1:sloid:5000:1:2,2026-09-22,ch:1:sjyid:100001:21145-001,rail,S-Bahn,S1,S1,21145,Baar,Sursee,2,,2026-09-22 12:14:00+00:00,2026-09-22 12:15:00+00:00,True,1.0,2026-09-22 14:01:48.778000+02:00,2026-09-22 14:14:00+02:00,2026-09-22 14:15:00+02:00,2026-09-22,14,Tuesday,False,12.187033333333334
2026-09-22 12:01:48.778000+00:00,ch:1:sloid:5000,Luzern,ch:1:sloid:5000:1:3,2026-09-22,ch:1:sjyid:100015:21652-001,rail,S-Bahn,S6,S6,21652,Luzern,Langnau i.E./Langenthal,3,,2026-09-22 12:16:00+00:00,2026-09-22 12:17:00+00:00,True,1.0,2026-09-22 14:01:48.778000+02:00,2026-09-22 14:16:00+02:00,2026-09-22 14:17:00+02:00,2026-09-22,14,Tuesday,False,14.187033333333334
2026-09-22 12:01:48.778000+00:00,ch:1:sloid:5000,Luzern,ch:1:sloid:5000:3:7,2026-09-22,ch:1:sjyid:100001:675-001,rail,InterCity,IC21,IC21,675,Basel SBB,Lugano,7,,2026-09-22 12:18:00+00:00,2026-09-22 12:19:00+00:00,True,1.0,2026-09-22 14:01:48.778000+02:00,2026-09-22 14:18:00+02:00,2026-09-22 14:19:00+02:00,2026-09-22,14,Tuesday,False,16.187033333333332
