collection_timestamp,station_id,station_name,stop_point_ref,operating_day,journey_ref,transport_mode,product_category,public_code,line,train_number,origin,destination,planned_platform,estimated_platform,scheduled_departure,estimated_departure,has_realtime,predicted_delay_minutes,collection_timestamp_local,scheduled_departure_local,estimated_departure_local,date,hour,weekday,weekend,minutes_until_departure
2026-09-22 12:01:49.853000+00:00,ch:1:sloid:8450,"Luzern, Bahnhof",ch:1:sloid:8450::1,2026-09-22,ch:1:sjyid:100619:plan:54172dcb-6da0-4179-a597-5a088507f67c,bus,Bus,1,1,2899,"Ebikon, Fildern",Obernau Dorf,A,,2026-09-22 11:59:00+00:00,2026-09-22 12:01:30+00:00,True,2.5,2026-09-22 14:01:49.853000+02:00,2026-09-22 13:59:00+02:00,2026-09-22 14:01:30+02:00,2026-09-22,13,Tuesday,False,-2.8308833333333334
2026-09-22 12:01:49.853000+00:00,ch:1:sloid:8450,"Luzern, Bahnhof",ch:1:sloid:8450::1,2026-09-22,ch:1:sjyid:100619:plan:2a1f07b5-dec1-4426-bb6c-a12bd70c17ae,bus,Bus,7,7,25155,"Luzern, Unterlöchli",Horw Biregghof,A,,2026-09-22 11:59:00+00:00,2026-09-22 12:03:30+00:00,True,4.5,2026-09-22 14:01:49.853000+02:00,2026-09-22 13:59:00+02:00,2026-09-22 14:03:30+02:00,2026-09-22,13,Tuesday,False,-2.8308833333333334
2026-09-22 12:01:49.853000+00:00,ch:1:sloid:8450,"Luzern, Bahnhof",ch:1:sloid:8450::2,2026-09-22,ch:1:sjyid:100619:plan:853ab7b4-539a-4866-b47e-16e819373886,bus,Bus,7,7,25148,"Horw, Biregghof",Unterlöchli,B,,2026-09-22 12:00:00+00:00,2026-09-22 12:01:12+00:00,True,1.2,2026-09-22 14:01:49.853000+02:00,2026-09-22 14:00:00+02:00,2026-09-22 14:01:12+02:00,2026-09-22,14,Tuesday,False,-1.8308833333333332
2026-09-22 12:01:49.853000+00:00,ch:1:sloid:8450,"Luzern, Bahnhof",ch:1:sloid:8450::17,2026-09-22,ch:1:sjyid:100619:plan:9cddac55-d9fb-48e0-9440-5b22aad627e0,bus,Bus,10,10,32479,"Luzern, Bahnhof",Obergütsch,W,,2026-09-22 12:00:00+00:00,2026-09-22 12:01:06+00:00,True,1.1,2026-09-22 14:01:49.853000+02:00,2026-09-22 14:00:00+02:00,2026-09-22 14:01:06+02:00,2026-09-22,14,Tuesday,False,-1.8308833333333332
2026-09-22 12:01:49.853000+00:00,ch:1:sloid:8450,"Luzern, Bahnhof",ch:1:sloid:8450::10,2026-09-22,ch:1:sjyid:100619:plan:6f8a1699-4f7c-46a1-9b34-cfc5736ee898,bus,Bus,20,20,48681,"Luzern, Bahnhof",Horw Technikumstrasse,J,,2026-09-22 12:00:00+00:00,2026-09-22 12:01:42+00:00,True,1.7,2026-09-22 14:01:49.853000+02:00,2026-09-22 14:00:00+02:00,2026-09-22 14:01:42+02:00,2026-09-22,14,Tuesday,False,-1.8308833333333332
2026-09-22 12:01:49.853000+00:00,ch:1:sloid:8450,"Luzern, Bahnhof",ch:1:sloid:8450::14,2026-09-22,ch:1:sjyid:100619:plan:a7540c51-d194-48ad-869c-990049620be7,bus,Bus,21,21,53199,"Luzern, Bahnhof",Kriens Busschleife,Q,,2026-09-22 12:00:00+00:00,2026-09-22 12:01:06+00:00,True,1.1,2026-09-22 14:01:49.853000+02:00,2026-09-22 14:00:00+02:00,2026-09-22 14:01:06+02:00,2026-09-22,14,Tuesday,False,-1.8308833333333332
2026-09-22 12:01:49.853000+00:00,ch:1:sloid:8450,"Luzern, Bahnhof",ch:1:sloid:8450::13,2026-09-22,ch:1:sjyid:100618:plan:6e9dea0f-8f3b-469f-9b50-997807e248b1,bus,Bus,61,61,140,"Luzern, Bahnhof",Ettiswil,T,,2026-09-22 12:01:00+00:00,2026-09-22 12:01:00+00:00,True,0.0,2026-09-22 14:01:49.853000+02:00,2026-09-22 14:01:00+02:00,2026-09-22 14:01:00+02:00,2026-09-22,14,Tuesday,False,-0.8308833333333333
2026-09-22 12:01:49.853000+00:00,ch:1:sloid:8450,"Luzern, Bahnhof",ch:1:sloid:8450::2,2026-09-22,ch:1:sjyid:100619:plan:264f1ac1-4bd4-405b-89ff-e65e412d6ecd,bus,Bus,1,1,3552,"Obernau, Dorf",Ebikon Fildern,B,,2026-09-22 12:01:48+00:00,2026-09-22 12:04:30+00:00,True,2.7,2026-09-22 14:01:49.853000+02:00,2026-09-22 14:01:48+02:00,2026-09-22 14:04:30+02:00,2026-09-22,14,Tuesday,False,-0.030883333333333332
2026-09-22 12:01:49.853000+00:00,ch:1:sloid:8450,"Luzern, Bahnhof",ch:1:sloid:8450::12,2026-09-22,ch:1:sjyid:100619:plan:1dcf9de4-96f9-4608-bd9f-81eb8937f56f,bus,Bus,24,24,59746,"Luzern, Bahnhof",Meggen Tschädigen,S,,2026-09-22 12:01:00+00:00,2026-09-22 12:01:00+00:00,True,0.0,2026-09-22 14:01:49.853000+02:00,2026-09-22 14:01:00+02:00,2026-09-22 14:01:00+02:00,2026-09-22,14,Tuesday,False,-0.8308833333333333
2026-09-22 12:01:49.853000+00:00,ch:1:sloid:8450,"Luzern, Bahnhof",ch:1:sloid:8450::20,2026-09-22,ch:1:sjyid:100619:plan:06f8bf9f-d857-4ee1-a1ea-0706594fbb19,bus,Bus,12,12,83891,"Luzern, Bahnhof",Gasshof,M,,2026-09-22 12:01:00+00:00,2026-09-22 12:01:00+00:00,True,0.0,2026-09-22 14:01:49.853000+02:00,2026-09-22 14:01:00+02:00,2026-09-22 14:01:00+02:00,2026-09-22,14,Tuesday,False,-0.8308833333333333
