batch_id,collection_timestamp,city,station_type,station_id,station_name,stop_point_ref,operating_day,journey_ref,transport_mode,product_category,public_code,line,train_number,origin,destination,planned_platform,estimated_platform,scheduled_departure,estimated_departure,cancelled,has_realtime,predicted_delay_minutes,collection_timestamp_local,scheduled_departure_local,estimated_departure_local,date,hour,weekday,weekend,minutes_until_departure
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:500:32,2026-09-22,ch:1:sjyid:100001:524-001,rail,InterCity,IC5,IC5,524,Rorschach,Lausanne,32,,2026-09-22 12:04:00+00:00,2026-09-22 12:04:30+00:00,,True,0.5,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:04:00+02:00,2026-09-22 14:04:30+02:00,2026-09-22,14,Tuesday,False,-0.66685
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:503:43,2026-09-22,ch:1:sjyid:100001:18353-001,rail,S-Bahn,S3,S3,18353,Zürich Hardbrücke,Wetzikon ZH,43/44,43,2026-09-22 12:04:00+00:00,2026-09-22 12:04:54+00:00,,True,0.9,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:04:00+02:00,2026-09-22 14:04:54+02:00,2026-09-22,14,Tuesday,False,-0.66685
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:501:34,2026-09-22,ch:1:sjyid:100001:819-002,rail,InterCity,IC81,IC81,819,Interlaken Ost,Romanshorn,34,,2026-09-22 12:04:00+00:00,2026-09-22 12:04:30+00:00,,True,0.5,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:04:00+02:00,2026-09-22 14:04:30+02:00,2026-09-22,14,Tuesday,False,-0.66685
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:4:7,2026-09-22,ch:1:sjyid:100061:2425-001,rail,Treno Gottardo,IR46,IR46,2425,Zürich HB,Locarno,7,,2026-09-22 12:05:00+00:00,2026-09-22 12:05:30+00:00,,True,0.5,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:05:00+02:00,2026-09-22 14:05:30+02:00,2026-09-22,14,Tuesday,False,0.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:4:6,2026-09-22,ch:1:sjyid:100001:4924-001,rail,RegioExpress,RE48,RE48,4924,Zürich HB,Schaffhausen,6,,2026-09-22 12:05:00+00:00,2026-09-22 12:05:42+00:00,,True,0.7,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:05:00+02:00,2026-09-22 14:05:42+02:00,2026-09-22,14,Tuesday,False,0.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:8:15,2026-09-22,ch:1:sjyid:100001:2174-001,rail,InterRegio,IR16,IR16,2174,Zürich HB,Bern,15,,2026-09-22 12:06:00+00:00,2026-09-22 12:06:30+00:00,,True,0.5,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:06:00+02:00,2026-09-22 14:06:30+02:00,2026-09-22,14,Tuesday,False,1.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:500:31,2026-09-22,ch:1:sjyid:100001:18853-001,rail,S-Bahn,S8,S8,18853,Winterthur,Pfäffikon SZ,31,,2026-09-22 12:07:00+00:00,2026-09-22 12:07:48+00:00,,True,0.8,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:07:00+02:00,2026-09-22 14:07:48+02:00,2026-09-22,14,Tuesday,False,2.3331500000000003
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:502:42,2026-09-22,ch:1:sjyid:100001:18952-001,rail,S-Bahn,S9,S9,18952,Uster,Schaffhausen,41/42,41,2026-09-22 12:07:00+00:00,2026-09-22 12:07:18+00:00,,True,0.3,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:07:00+02:00,2026-09-22 14:07:18+02:00,2026-09-22,14,Tuesday,False,2.3331500000000003
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:5:9,2026-09-22,ch:1:sjyid:100001:773-002,rail,InterCity,IC3,IC3,773,Zürich HB,Chur,9,,2026-09-22 12:07:00+00:00,2026-09-22 12:08:00+00:00,,True,1.0,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:07:00+02:00,2026-09-22 14:08:00+02:00,2026-09-22,14,Tuesday,False,2.3331500000000003
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:9:16,2026-09-22,ch:1:sjyid:100001:2270-001,rail,InterRegio,IR37,IR37,2270,Zürich HB,Basel SBB,16,,2026-09-22 12:08:00+00:00,2026-09-22 12:08:30+00:00,,True,0.5,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:08:00+02:00,2026-09-22 14:08:30+02:00,2026-09-22,14,Tuesday,False,3.3331500000000003
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:6:11,2026-09-22,ch:1:sjyid:100001:3271-001,rail,InterRegio,IR13,IR13,3271,Zürich HB,Sargans,11,,2026-09-22 12:08:00+00:00,2026-09-22 12:08:30+00:00,,True,0.5,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:08:00+02:00,2026-09-22 14:08:30+02:00,2026-09-22,14,Tuesday,False,3.3331500000000003
