operating_day,journey_ref,stop_point_ref,station_name,transport_mode,product_category,public_code,line,train_number,origin,destination,planned_platform,scheduled_departure,estimated_departure,scheduled_departure_local,estimated_departure_local,has_realtime,predicted_delay_minutes,collection_timestamp,collection_timestamp_local
2026-09-19,ch:1:sjyid:100001:18545-001,ch:1:sloid:3000:503:43,Zürich HB,rail,S-Bahn,S5,S5,18545,Zug,Pfäffikon SZ,43/44,2026-09-19 10:24:00+00:00,2026-09-19 10:24:18+00:00,2026-09-19 12:24:00+02:00,2026-09-19 12:24:18+02:00,True,0.3,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:18844-001,ch:1:sloid:3000:501:33,Zürich HB,rail,S-Bahn,S8,S8,18844,Pfäffikon SZ,Effretikon,33,2026-09-19 10:25:00+00:00,2026-09-19 10:25:18+00:00,2026-09-19 12:25:00+02:00,2026-09-19 12:25:18+02:00,True,0.3,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:18945-001,ch:1:sloid:3000:503:43,Zürich HB,rail,S-Bahn,S9,S9,18945,Rafz,Uster,43/44,2026-09-19 10:28:00+00:00,2026-09-19 10:28:18+00:00,2026-09-19 12:28:00+02:00,2026-09-19 12:28:18+02:00,True,0.3,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:1770-001,ch:1:sloid:3000:9:16,Zürich HB,rail,InterRegio,IR55,IR55,1770,Zürich HB,Biel/Bienne,16,2026-09-19 10:29:00+00:00,2026-09-19 10:29:24+00:00,2026-09-19 12:29:00+02:00,2026-09-19 12:29:24+02:00,True,0.4,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:19146-001,ch:1:sloid:3000:502:42,Zürich HB,rail,S-Bahn,S11,S11,19146,Zürich HB,Aarau,41/42,2026-09-19 10:29:00+00:00,2026-09-19 10:30:06+00:00,2026-09-19 12:29:00+02:00,2026-09-19 12:30:06+02:00,True,1.1,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:18645-001,ch:1:sloid:3000:503:43,Zürich HB,rail,S-Bahn,S6,S6,18645,Baden,Uetikon,43/44,2026-09-19 10:30:00+00:00,2026-09-19 10:30:30+00:00,2026-09-19 12:30:00+02:00,2026-09-19 12:30:30+02:00,True,0.5,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:18646-001,ch:1:sloid:3000:502:42,Zürich HB,rail,S-Bahn,S6,S6,18646,Uetikon,Baden,41/42,2026-09-19 10:31:00+00:00,2026-09-19 10:31:42+00:00,2026-09-19 12:31:00+02:00,2026-09-19 12:31:42+02:00,True,0.7,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:718-001,ch:1:sloid:3000:10:18,Zürich HB,rail,InterCity,IC1,IC1,718,Zürich HB,Genève-Aéroport,18,2026-09-19 10:32:00+00:00,2026-09-19 10:32:30+00:00,2026-09-19 12:32:00+02:00,2026-09-19 12:32:30+02:00,True,0.5,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:151-001,ch:1:sloid:3000:6:11,Zürich HB,rail,EuroCity,EC,EC,151,Basel SBB,Milano Centrale,11,2026-09-19 10:33:00+00:00,,2026-09-19 12:33:00+02:00,,False,,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:568-001,ch:1:sloid:3000:7:12,Zürich HB,rail,InterCity,IC3,IC3,568,Chur,Basel SBB,12,2026-09-19 10:34:00+00:00,2026-09-19 10:34:30+00:00,2026-09-19 12:34:00+02:00,2026-09-19 12:34:30+02:00,True,0.5,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:18347-001,ch:1:sloid:3000:503:43,Zürich HB,rail,S-Bahn,S3,S3,18347,Zürich HB,Wetzikon ZH,43/44,2026-09-19 10:34:00+00:00,2026-09-19 10:34:00+00:00,2026-09-19 12:34:00+02:00,2026-09-19 12:34:00+02:00,True,0.0,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:2119-001,ch:1:sloid:3000:4:6,Zürich HB,rail,InterRegio,IR75,IR75,2119,Luzern,Konstanz,6,2026-09-19 10:34:00+00:00,2026-09-19 10:34:30+00:00,2026-09-19 12:34:00+02:00,2026-09-19 12:34:30+02:00,True,0.5,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:2118-001,ch:1:sloid:3000:6:10,Zürich HB,rail,InterRegio,IR75,IR75,2118,Konstanz,Luzern,10,2026-09-19 10:35:00+00:00,2026-09-19 10:36:00+00:00,2026-09-19 12:35:00+02:00,2026-09-19 12:36:00+02:00,True,1.0,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:1970-001,ch:1:sloid:3000:9:17,Zürich HB,rail,InterRegio,IR36,IR36,1970,Zürich HB,Basel SBB,17,2026-09-19 10:36:00+00:00,2026-09-19 10:36:30+00:00,2026-09-19 12:36:00+02:00,2026-09-19 12:36:30+02:00,True,0.5,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:18847-001,ch:1:sloid:3000:500:32,Zürich HB,rail,S-Bahn,S8,S8,18847,Effretikon,Pfäffikon SZ,32,2026-09-19 10:37:00+00:00,2026-09-19 10:37:36+00:00,2026-09-19 12:37:00+02:00,2026-09-19 12:37:36+02:00,True,0.6,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:18946-001,ch:1:sloid:3000:502:42,Zürich HB,rail,S-Bahn,S9,S9,18946,Uster,Rafz,41/42,2026-09-19 10:37:00+00:00,2026-09-19 10:37:18+00:00,2026-09-19 12:37:00+02:00,2026-09-19 12:37:18+02:00,True,0.3,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:188-001,ch:1:sloid:3000:3:5,Zürich HB,rail,InterCity,IC,IC,188,Zürich HB,Stuttgart Hbf,5,2026-09-19 10:37:00+00:00,2026-09-19 10:37:30+00:00,2026-09-19 12:37:00+02:00,2026-09-19 12:37:30+02:00,True,0.5,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:4820-001,ch:1:sloid:3000:8:15,Zürich HB,rail,RegioExpress,RE37,RE37,4820,Zürich HB,Aarau,15,2026-09-19 10:38:00+00:00,2026-09-19 10:38:30+00:00,2026-09-19 12:38:00+02:00,2026-09-19 12:38:30+02:00,True,0.5,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:905-001,ch:1:sloid:3000:3:4,Zürich HB,rail,InterCity,IC,IC,905,Genève-Aéroport,Chur,8,2026-09-19 10:38:00+00:00,2026-09-19 10:38:30+00:00,2026-09-19 12:38:00+02:00,2026-09-19 12:38:30+02:00,True,0.5,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:19547-001,ch:1:sloid:3000:503:43,Zürich HB,rail,S-Bahn,S15,S15,19547,Niederweningen,Rapperswil SG,43/44,2026-09-19 10:39:00+00:00,2026-09-19 10:40:54+00:00,2026-09-19 12:39:00+02:00,2026-09-19 12:40:54+02:00,True,1.9,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:18546-001,ch:1:sloid:3000:502:42,Zürich HB,rail,S-Bahn,S5,S5,18546,Pfäffikon SZ,Zug,41/42,2026-09-19 10:39:00+00:00,2026-09-19 10:39:18+00:00,2026-09-19 12:39:00+02:00,2026-09-19 12:39:18+02:00,True,0.3,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
