collection_timestamp,station_id,station_name,stop_point_ref,operating_day,journey_ref,transport_mode,product_category,public_code,line,train_number,origin,destination,planned_platform,estimated_platform,scheduled_departure,estimated_departure,has_realtime,predicted_delay_minutes,collection_timestamp_local,scheduled_departure_local,estimated_departure_local,date,hour,weekday,weekend,minutes_until_departure
2026-09-22 11:38:29.909000+00:00,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:7:13,2026-09-22,ch:1:sjyid:100001:4822-001,rail,RegioExpress,RE37,RE37,4822,Zürich HB,Aarau,13,,2026-09-22 11:38:00+00:00,2026-09-22 11:38:30+00:00,True,0.5,2026-09-22 13:38:29.909000+02:00,2026-09-22 13:38:00+02:00,2026-09-22 13:38:30+02:00,2026-09-22,13,Tuesday,False,-0.49848333333333333
2026-09-22 11:38:29.909000+00:00,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:4:6,2026-09-22,ch:1:sjyid:100001:571-001,rail,InterCity,IC3,IC3,571,Zürich HB,Chur,6,,2026-09-22 11:38:00+00:00,2026-09-22 11:38:30+00:00,True,0.5,2026-09-22 13:38:29.909000+02:00,2026-09-22 13:38:00+02:00,2026-09-22 13:38:30+02:00,2026-09-22,13,Tuesday,False,-0.49848333333333333
2026-09-22 11:38:29.909000+00:00,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:503:43,2026-09-22,ch:1:sjyid:100001:19551-001,rail,S-Bahn,S15,S15,19551,Niederweningen,Rapperswil SG,43/44,43,2026-09-22 11:39:00+00:00,2026-09-22 11:40:12+00:00,True,1.2,2026-09-22 13:38:29.909000+02:00,2026-09-22 13:39:00+02:00,2026-09-22 13:40:12+02:00,2026-09-22,13,Tuesday,False,0.5015166666666667
2026-09-22 11:38:29.909000+00:00,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:502:42,2026-09-22,ch:1:sjyid:100001:18550-001,rail,S-Bahn,S5,S5,18550,Pfäffikon SZ,Zug,41/42,41,2026-09-22 11:39:00+00:00,2026-09-22 11:39:18+00:00,True,0.3,2026-09-22 13:38:29.909000+02:00,2026-09-22 13:39:00+02:00,2026-09-22 13:39:18+02:00,2026-09-22,13,Tuesday,False,0.5015166666666667
2026-09-22 11:38:29.909000+00:00,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:500:32,2026-09-22,ch:1:sjyid:100001:19950-001,rail,S-Bahn,S19,S19,19950,Effretikon,Dietikon,31,32,2026-09-22 11:41:00+00:00,2026-09-22 11:41:48+00:00,True,0.8,2026-09-22 13:38:29.909000+02:00,2026-09-22 13:41:00+02:00,2026-09-22 13:41:48+02:00,2026-09-22,13,Tuesday,False,2.501516666666667
2026-09-22 11:38:29.909000+00:00,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:503:43,2026-09-22,ch:1:sjyid:100001:18751-001,rail,S-Bahn,S7,S7,18751,Winterthur,Rapperswil SG,43/44,,2026-09-22 11:41:00+00:00,2026-09-22 11:42:30+00:00,True,1.5,2026-09-22 13:38:29.909000+02:00,2026-09-22 13:41:00+02:00,2026-09-22 13:42:30+02:00,2026-09-22,13,Tuesday,False,2.501516666666667
2026-09-22 11:38:29.909000+00:00,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:501:34,2026-09-22,ch:1:sjyid:100001:19451-001,rail,S-Bahn,S14,S14,19451,Affoltern am Albis,Hinwil,34,,2026-09-22 11:42:00+00:00,2026-09-22 11:42:30+00:00,True,0.5,2026-09-22 13:38:29.909000+02:00,2026-09-22 13:42:00+02:00,2026-09-22 13:42:30+02:00,2026-09-22,13,Tuesday,False,3.501516666666667
2026-09-22 11:38:29.909000+00:00,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:6:10,2026-09-22,ch:1:sjyid:100001:20551-001,rail,S-Bahn,S25,S25,20551,Zürich HB,Linthal,10,,2026-09-22 11:43:00+00:00,2026-09-22 11:43:30+00:00,True,0.5,2026-09-22 13:38:29.909000+02:00,2026-09-22 13:43:00+02:00,2026-09-22 13:43:30+02:00,2026-09-22,13,Tuesday,False,4.501516666666666
2026-09-22 11:38:29.909000+00:00,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:501:33,2026-09-22,ch:1:sjyid:100001:18250-001,rail,S-Bahn,S2,S2,18250,Ziegelbrücke,Zürich Flughafen,33,,2026-09-22 11:44:00+00:00,2026-09-22 11:44:18+00:00,True,0.3,2026-09-22 13:38:29.909000+02:00,2026-09-22 13:44:00+02:00,2026-09-22 13:44:18+02:00,2026-09-22,13,Tuesday,False,5.501516666666666
2026-09-22 11:38:29.909000+00:00,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:2:3,2026-09-22,ch:1:sjyid:100001:20450-001,rail,S-Bahn,S24,S24,20450,Zug,Thayngen,3,,2026-09-22 11:44:00+00:00,2026-09-22 11:44:18+00:00,True,0.3,2026-09-22 13:38:29.909000+02:00,2026-09-22 13:44:00+02:00,2026-09-22 13:44:18+02:00,2026-09-22,13,Tuesday,False,5.501516666666666
2026-09-22 11:38:29.909000+00:00,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:502:42,2026-09-22,ch:1:sjyid:100001:19250-001,rail,S-Bahn,S12,S12,19250,Schaffhausen,Brugg AG,41/42,,2026-09-22 11:44:00+00:00,2026-09-22 11:44:18+00:00,True,0.3,2026-09-22 13:38:29.909000+02:00,2026-09-22 13:44:00+02:00,2026-09-22 13:44:18+02:00,2026-09-22,13,Tuesday,False,5.501516666666666
2026-09-22 11:38:29.909000+00:00,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:503:43,2026-09-22,ch:1:sjyid:100001:19651-001,rail,S-Bahn,S16,S16,19651,Zürich Flughafen,Herrliberg-Feldmeilen,43/44,,2026-09-22 11:45:00+00:00,2026-09-22 11:45:36+00:00,True,0.6,2026-09-22 13:38:29.909000+02:00,2026-09-22 13:45:00+02:00,2026-09-22 13:45:36+02:00,2026-09-22,13,Tuesday,False,6.501516666666666
2026-09-22 11:38:29.909000+00:00,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:503:43,2026-09-22,ch:1:sjyid:100001:19251-001,rail,S-Bahn,S12,S12,19251,Brugg AG,Wil SG,43/44,,2026-09-22 11:46:00+00:00,2026-09-22 11:47:00+00:00,True,1.0,2026-09-22 13:38:29.909000+02:00,2026-09-22 13:46:00+02:00,2026-09-22 13:47:00+02:00,2026-09-22,13,Tuesday,False,7.501516666666666
2026-09-22 11:38:29.909000+00:00,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:502:42,2026-09-22,ch:1:sjyid:100001:19650-001,rail,S-Bahn,S16,S16,19650,Herrliberg-Feldmeilen,Zürich Flughafen,41/42,,2026-09-22 11:46:00+00:00,2026-09-22 11:46:18+00:00,True,0.3,2026-09-22 13:38:29.909000+02:00,2026-09-22 13:46:00+02:00,2026-09-22 13:46:18+02:00,2026-09-22,13,Tuesday,False,7.501516666666666
2026-09-22 11:38:29.909000+00:00,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:500:31,2026-09-22,ch:1:sjyid:100001:18251-001,rail,S-Bahn,S2,S2,18251,Zürich Flughafen,Ziegelbrücke,32,31,2026-09-22 11:47:00+00:00,2026-09-22 11:48:00+00:00,True,1.0,2026-09-22 13:38:29.909000+02:00,2026-09-22 13:47:00+02:00,2026-09-22 13:48:00+02:00,2026-09-22,13,Tuesday,False,8.501516666666667
2026-09-22 11:38:29.909000+00:00,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:500:32,2026-09-22,ch:1:sjyid:100001:19450-001,rail,S-Bahn,S14,S14,19450,Hinwil,Affoltern am Albis,31,32,2026-09-22 11:49:00+00:00,2026-09-22 11:50:00+00:00,True,1.0,2026-09-22 13:38:29.909000+02:00,2026-09-22 13:49:00+02:00,2026-09-22 13:50:00+02:00,2026-09-22,13,Tuesday,False,10.501516666666667
2026-09-22 11:38:29.909000+00:00,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:501:34,2026-09-22,ch:1:sjyid:100001:19951-001,rail,S-Bahn,S19,S19,19951,Dietikon,Effretikon,34,,2026-09-22 11:49:00+00:00,2026-09-22 11:49:18+00:00,True,0.3,2026-09-22 13:38:29.909000+02:00,2026-09-22 13:49:00+02:00,2026-09-22 13:49:18+02:00,2026-09-22,13,Tuesday,False,10.501516666666667
2026-09-22 11:38:29.909000+00:00,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:502:42,2026-09-22,ch:1:sjyid:100001:18750-001,rail,S-Bahn,S7,S7,18750,Rapperswil SG,Winterthur,41/42,,2026-09-22 11:49:00+00:00,2026-09-22 11:49:42+00:00,True,0.7,2026-09-22 13:38:29.909000+02:00,2026-09-22 13:49:00+02:00,2026-09-22 13:49:42+02:00,2026-09-22,13,Tuesday,False,10.501516666666667
